date,service,location,bookings
2026-08-01,plumbing,Bangalore,12
2026-08-01,electrical,Bangalore,8
2026-08-01,cleaning,Bangalore,15
2026-08-01,carpentry,Bangalore,6
2026-08-02,plumbing,Bangalore,14
2026-08-02,electrical,Bangalore,9
2026-08-02,cleaning,Bangalore,13
2026-08-02,carpentry,Bangalore,5
2026-08-03,plumbing,Bangalore,11
2026-08-03,electrical,Bangalore,10
2026-08-03,cleaning,Bangalore,16
2026-08-03,carpentry,Bangalore,7
2026-08-04,plumbing,Bangalore,15
2026-08-04,electrical,Bangalore,11
2026-08-04,cleaning,Bangalore,14
2026-08-04,carpentry,Bangalore,8
2026-08-05,plumbing,Bangalore,13
2026-08-05,electrical,Bangalore,8
2026-08-05,cleaning,Bangalore,17
2026-08-05,carpentry,Bangalore,6
2026-08-06,plumbing,Bangalore,16
2026-08-06,electrical,Bangalore,12
2026-08-06,cleaning,Bangalore,18
2026-08-06,carpentry,Bangalore,9
2026-08-07,plumbing,Bangalore,18
2026-08-07,electrical,Bangalore,13
2026-08-07,cleaning,Bangalore,20
2026-08-07,carpentry,Bangalore,10
2026-08-08,plumbing,Bangalore,15
2026-08-08,electrical,Bangalore,10
2026-08-08,cleaning,Bangalore,17
2026-08-08,carpentry,Bangalore,8
2026-08-09,plumbing,Bangalore,13
2026-08-09,electrical,Bangalore,9
2026-08-09,cleaning,Bangalore,15
2026-08-09,carpentry,Bangalore,6
2026-08-10,plumbing,Bangalore,12
2026-08-10,electrical,Bangalore,8
2026-08-10,cleaning,Bangalore,14
2026-08-10,carpentry,Bangalore,5
2026-08-11,plumbing,Bangalore,14
2026-08-11,electrical,Bangalore,10
2026-08-11,cleaning,Bangalore,16
2026-08-11,carpentry,Bangalore,7
2026-08-12,plumbing,Bangalore,17
2026-08-12,electrical,Bangalore,12
2026-08-12,cleaning,Bangalore,18
2026-08-12,carpentry,Bangalore,9
2026-08-13,plumbing,Bangalore,19
2026-08-13,electrical,Bangalore,14
2026-08-13,cleaning,Bangalore,21
2026-08-13,carpentry,Bangalore,11
2026-08-14,plumbing,Bangalore,17
2026-08-14,electrical,Bangalore,12
2026-08-14,cleaning,Bangalore,19
2026-08-14,carpentry,Bangalore,9
2026-08-15,plumbing,Bangalore,14
2026-08-15,electrical,Bangalore,10
2026-08-15,cleaning,Bangalore,16
2026-08-15,carpentry,Bangalore,7
2026-08-16,plumbing,Bangalore,13
2026-08-16,electrical,Bangalore,9
2026-08-16,cleaning,Bangalore,15
2026-08-16,carpentry,Bangalore,6
2026-08-17,plumbing,Bangalore,16
2026-08-17,electrical,Bangalore,11
2026-08-17,cleaning,Bangalore,17
2026-08-17,carpentry,Bangalore,8
2026-08-18,plumbing,Bangalore,18
2026-08-18,electrical,Bangalore,13
2026-08-18,cleaning,Bangalore,20
2026-08-18,carpentry,Bangalore,10
2026-08-19,plumbing,Bangalore,20
2026-08-19,electrical,Bangalore,14
2026-08-19,cleaning,Bangalore,22
2026-08-19,carpentry,Bangalore,11
2026-08-20,plumbing,Bangalore,18
2026-08-20,electrical,Bangalore,13
2026-08-20,cleaning,Bangalore,20
2026-08-20,carpentry,Bangalore,10
2026-08-21,plumbing,Bangalore,16
2026-08-21,electrical,Bangalore,11
2026-08-21,cleaning,Bangalore,18
2026-08-21,carpentry,Bangalore,8
2026-08-22,plumbing,Bangalore,14
2026-08-22,electrical,Bangalore,10
2026-08-22,cleaning,Bangalore,16
2026-08-22,carpentry,Bangalore,7
2026-08-23,plumbing,Bangalore,13
2026-08-23,electrical,Bangalore,9
2026-08-23,cleaning,Bangalore,15
2026-08-23,carpentry,Bangalore,6
2026-08-24,plumbing,Bangalore,17
2026-08-24,electrical,Bangalore,12
2026-08-24,cleaning,Bangalore,18
2026-08-24,carpentry,Bangalore,9
2026-08-25,plumbing,Bangalore,19
2026-08-25,electrical,Bangalore,14
2026-08-25,cleaning,Bangalore,21
2026-08-25,carpentry,Bangalore,11
2026-08-26,plumbing,Bangalore,21
2026-08-26,electrical,Bangalore,15
2026-08-26,cleaning,Bangalore,23
2026-08-26,carpentry,Bangalore,12
2026-08-27,plumbing,Bangalore,20
2026-08-27,electrical,Bangalore,14
2026-08-27,cleaning,Bangalore,22
2026-08-27,carpentry,Bangalore,11
2026-08-28,plumbing,Bangalore,18
2026-08-28,electrical,Bangalore,13
2026-08-28,cleaning,Bangalore,20
2026-08-28,carpentry,Bangalore,10
2026-08-29,plumbing,Bangalore,16
2026-08-29,electrical,Bangalore,11
2026-08-29,cleaning,Bangalore,18
2026-08-29,carpentry,Bangalore,8
2026-08-30,plumbing,Bangalore,15
2026-08-30,electrical,Bangalore,10
2026-08-30,cleaning,Bangalore,17
2026-08-30,carpentry,Bangalore,7
